"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2303","skip tutorial","","Sun Jun 08 14:53:49 CEST 2025","passed","Sun Jun 08 14:53:52 CEST 2025","","delete element on checklist","",""
"","788","delete element on checklist","","Sun Jun 08 14:54:02 CEST 2025","passed","Sun Jun 08 14:54:03 CEST 2025","","delete element on checklist","",""
"","10652","add calendar checklist","","Sun Jun 08 14:54:39 CEST 2025","passed","Sun Jun 08 14:54:50 CEST 2025","","Move elements on checklist","",""
"","6106","drag and drop","","Sun Jun 08 14:54:50 CEST 2025","passed","Sun Jun 08 14:54:56 CEST 2025","","Move elements on checklist","",""
"","1987","tutorial loads","","Sun Jun 08 14:56:08 CEST 2025","passed","Sun Jun 08 14:56:10 CEST 2025","","Tutorial check","",""
"","12104","add calendar checklist","","Sun Jun 08 14:53:25 CEST 2025","passed","Sun Jun 08 14:53:37 CEST 2025","","Delete checklist","",""
"","12731","add calendar checklist","","Sun Jun 08 14:52:43 CEST 2025","passed","Sun Jun 08 14:52:56 CEST 2025","","Add calendar checklist","",""
"","3919","delete checklist","","Sun Jun 08 14:53:37 CEST 2025","passed","Sun Jun 08 14:53:41 CEST 2025","","Delete checklist","",""
"","2309","skip tutorial","","Sun Jun 08 14:53:05 CEST 2025","passed","Sun Jun 08 14:53:07 CEST 2025","","Add Notes","",""
"","2397","skip tutorial","","Sun Jun 08 14:56:06 CEST 2025","passed","Sun Jun 08 14:56:08 CEST 2025","","Tutorial check","",""
"","6373","add note","","Sun Jun 08 14:53:07 CEST 2025","passed","Sun Jun 08 14:53:13 CEST 2025","","Add Notes","",""
"","33797","add 4 notes","","Sun Jun 08 14:55:21 CEST 2025","passed","Sun Jun 08 14:55:55 CEST 2025","","Sort Notes","",""
"","2579","skip tutorial","","Sun Jun 08 14:52:41 CEST 2025","passed","Sun Jun 08 14:52:43 CEST 2025","","Add calendar checklist","",""
"","2091","open calendar","","Sun Jun 08 14:55:07 CEST 2025","passed","Sun Jun 08 14:55:09 CEST 2025","","Scroll Calendar to next month","",""
"","10177","add calendar checklist","","Sun Jun 08 14:53:52 CEST 2025","passed","Sun Jun 08 14:54:02 CEST 2025","","delete element on checklist","",""
"","5968","add note","","Sun Jun 08 14:54:14 CEST 2025","passed","Sun Jun 08 14:54:20 CEST 2025","","Delete Notes","",""
"","8692","delete note","","Sun Jun 08 14:54:20 CEST 2025","passed","Sun Jun 08 14:54:28 CEST 2025","","Delete Notes","",""
"","2374","skip tutorial","","Sun Jun 08 14:55:18 CEST 2025","passed","Sun Jun 08 14:55:21 CEST 2025","","Sort Notes","",""
"","2471","change to ""sort alphabetically""","","Sun Jun 08 14:55:55 CEST 2025","passed","Sun Jun 08 14:55:57 CEST 2025","","Sort Notes","",""
"","2299","skip tutorial","","Sun Jun 08 14:55:05 CEST 2025","passed","Sun Jun 08 14:55:07 CEST 2025","","Scroll Calendar to next month","",""
"","846","scroll to next month","","Sun Jun 08 14:55:09 CEST 2025","passed","Sun Jun 08 14:55:10 CEST 2025","","Scroll Calendar to next month","",""
"","2700","skip tutorial","","Sun Jun 08 14:53:22 CEST 2025","passed","Sun Jun 08 14:53:25 CEST 2025","","Delete checklist","",""
"","2424","skip tutorial","","Sun Jun 08 14:54:11 CEST 2025","passed","Sun Jun 08 14:54:14 CEST 2025","","Delete Notes","",""
"","2380","skip tutorial","","Sun Jun 08 14:54:37 CEST 2025","passed","Sun Jun 08 14:54:39 CEST 2025","","Move elements on checklist","",""
